name,id,year,runtime,certificate,poster_link,metascore,director,stars,gross,genres,imdb_rating
Mary e Max: Uma Amizade Diferente,tt0978762,2009,92 min,12,"https://m.media-amazon.com/images/M/MV5BMDgzYjQwMDMtNGUzYi00MTRmLWIyMGMtNjE1OGZkNzY2YWIzL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR3,0,140,209_AL_.jpg",,[],"['Adam Elliot', 'Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana', 'Barry Humphries']",,[],8.1
Vida de Inseto,tt0120623,1998,95 min,Livre,"https://m.media-amazon.com/images/M/MV5BNThmZGY4NzgtMTM4OC00NzNkLWEwNmEtMjdhMGY5YTc1NDE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg",77,[],"['John Lasseter', 'Andrew Stanton', 'Kevin Spacey', 'David Foley', 'Julia Louis-Dreyfus', 'Hayden Panettiere']",,[],7.2
Como Treinar o Seu Dragão,tt0892769,2010,98 min,Livre,"https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",75,[],"['Dean DeBlois', 'Chris Sanders', 'Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson']",,[],8.1
Pinóquio,tt0032910,1940,88 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTU4Mzk3ODIyOF5BMl5BanBnXkFtZTgwODgyNzk2NjE@._V1_UX140_CR0,0,140,209_AL_.jpg",99,[],"['Norman Ferguson', 'T. Hee', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts', 'Ben Sharpsteen', 'Dickie Jones', 'Christian Rub', 'Mel Blanc', 'Billy Bletcher']",,[],7.5
A Bela e a Fera,tt0101414,1991,84 min,Livre,"https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",95,[],"['Gary Trousdale', 'Kirk Wise', ""Paige O'Hara"", 'Robby Benson', 'Jesse Corti', 'Rex Everhart']",,[],8
A Canção do Mar,tt1865505,2014,93 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTQ2MDMwNjEwNV5BMl5BanBnXkFtZTgwOTkxMzI0MzE@._V1_UY209_CR2,0,140,209_AL_.jpg",85,[],"['Tomm Moore', 'David Rawle', 'Brendan Gleeson', 'Lisa Hannigan', 'Fionnula Flanagan']",,[],8
Ratatouille,tt0382932,2007,111 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",96,[],"['Brad Bird', 'Jan Pinkava', 'Brad Garrett', 'Lou Romano', 'Patton Oswalt', 'Ian Holm']",,[],8.1
A Viagem de Chihiro,tt0245429,2001,125 min,Livre,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",96,[],"['Hayao Miyazaki', 'Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']",,[],8.6
As Aventuras de Tintim,tt0983193,2011,107 min,12,"https://m.media-amazon.com/images/M/MV5BNDE5MDExNTQ1OF5BMl5BanBnXkFtZTcwMDIxMTM5Ng@@._V1_UY209_CR0,0,140,209_AL_.jpg",68,[],"['Steven Spielberg', 'Jamie Bell', 'Andy Serkis', 'Daniel Craig', 'Simon Pegg']",,[],7.3
Kubo e as Cordas Mágicas,tt4302938,2016,101 min,10,"https://m.media-amazon.com/images/M/MV5BMjA2Mzg2NDMzNl5BMl5BanBnXkFtZTgwMjcwODUzOTE@._V1_UY209_CR0,0,140,209_AL_.jpg",84,[],"['Travis Knight', 'Charlize Theron', 'Art Parkinson', 'Matthew McConaughey', 'Ralph Fiennes']",,[],7.7
Persépolis,tt0808417,2007,96 min,12,"https://m.media-amazon.com/images/M/MV5BMGRkZThmYzEtYjQxZC00OWEzLThjYjAtYzFkMjY0NGZkZWI4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",90,[],"['Vincent Paronnaud', 'Marjane Satrapi', 'Chiara Mastroianni', 'Catherine Deneuve', 'Gena Rowlands', 'Danielle Darrieux']",,[],8
O Gigante de Ferro,tt0129167,1999,86 min,Livre,"https://m.media-amazon.com/images/M/MV5BYzBjZTNkMzQtZmNkOC00Yzk0LTljMjktZjk3YWVlZjY3NTk2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UY209_CR0,0,140,209_AL_.jpg",85,[],"['Brad Bird', 'Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston', 'Vin Diesel']",,[],8.1
Princesa Mononoke,tt0119698,1997,134 min,12,"https://m.media-amazon.com/images/M/MV5BNTZkYmI0MmEtNGFlZC00OWZjLWFjMmItMjk1OWZkOWJiZGVjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg",76,[],"['Hayao Miyazaki', 'Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']",,[],8.3
Aladdin,tt0103639,1992,90 min,Livre,"https://m.media-amazon.com/images/M/MV5BZTg5ZTVmM2EtZjdhZC00MzBjLWEwZTYtNWIwZDczYzZkMzA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg",86,[],"['Ron Clements', 'John Musker', 'Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman']",,[],8
Como Treinar o Seu Dragão 2,tt1646971,2014,102 min,Livre,"https://m.media-amazon.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1_UY209_CR0,0,140,209_AL_.jpg",77,[],"['Dean DeBlois', 'Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson']",,[],7.8
A Lenda de Beowulf,tt0442933,2007,115 min,14,"https://m.media-amazon.com/images/M/MV5BMTUzMjM0MTc3MF5BMl5BanBnXkFtZTcwNzU0ODMyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",59,[],"['Robert Zemeckis', 'Ray Winstone', 'Crispin Glover', 'Angelina Jolie', 'Robin Wright']",,[],6.3
O Rei Leão,tt0110357,1994,88 min,Livre,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UY209_CR0,0,140,209_AL_.jpg",88,[],"['Roger Allers', 'Rob Minkoff', 'Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']",,[],8.5
Enrolados,tt0398286,2010,100 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_UY209_CR0,0,140,209_AL_.jpg",71,[],"['Nathan Greno', 'Byron Howard', 'Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Ron Perlman']",,[],7.7
Lego Batman: O Filme,tt4116284,2017,104 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTcyNTEyOTY0M15BMl5BanBnXkFtZTgwOTAyNzU3MDI@._V1_UY209_CR0,0,140,209_AL_.jpg",75,[],"['Chris McKay', 'Will Arnett', 'Michael Cera', 'Rosario Dawson', 'Ralph Fiennes']",,[],7.3
Branca de Neve e os Sete Anões,tt0029583,1937,83 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",96,[],"['William Cottrell', 'David Hand', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen', 'Adriana Caselotti', 'Harry Stockwell', 'Lucille La Verne', 'Roy Atwell']",,[],7.6
Soul,tt2948372,2020,100 min,Livre,"https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_UY209_CR0,0,140,209_AL_.jpg",83,[],"['Pete Docter', 'Kemp Powers', 'Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House']",,[],8
Wolfwalkers,tt5198068,2020,103 min,10,"https://m.media-amazon.com/images/M/MV5BNTA4MWQ4NGUtOGQ0MS00M2QyLWE5MDItZWM2YzA0ZDgxZTA2XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX140_CR0,0,140,209_AL_.jpg",87,[],"['Tomm Moore', 'Ross Stewart', 'Honor Kneafsey', 'Eva Whittaker', 'Sean Bean', 'Simon McBurney']",,[],8
Shrek 2,tt0298148,2004,93 min,Livre,"https://m.media-amazon.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",75,[],"['Andrew Adamson', 'Kelly Asbury', 'Conrad Vernon', 'Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Julie Andrews']",,[],7.3
Meu Malvado Favorito,tt1323594,2010,95 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_UY209_CR0,0,140,209_AL_.jpg",72,[],"['Pierre Coffin', 'Chris Renaud', 'Steve Carell', 'Jason Segel', 'Russell Brand', 'Julie Andrews']",,[],7.6
Zootopia,tt2948356,2016,108 min,Livre,"https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_UY209_CR0,0,140,209_AL_.jpg",78,[],"['Byron Howard', 'Rich Moore', 'Jared Bush', 'Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate']",,[],8
Toy Story 4,tt1979376,2019,100 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_UY209_CR0,0,140,209_AL_.jpg",84,[],"['Josh Cooley', 'Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale']",,[],7.7
Ponyo: Uma Amizade que Veio do Mar,tt0876563,2008,101 min,Livre,"https://m.media-amazon.com/images/M/MV5BOTc3YmM3N2QtODZkMC00ZDE5LThjMTQtYTljN2Y1YTYwYWJkXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",86,[],"['Hayao Miyazaki', 'Cate Blanchett', 'Matt Damon', 'Liam Neeson', 'Tomoko Yamaguchi']",,[],7.6
Piratas Pirados!,tt1430626,2012,88 min,Livre,"https://m.media-amazon.com/images/M/MV5BNDhkOGZkZWMtNGI4Mi00ZWI3LTgyYTgtMDU4ZDI3NTNjMWFiXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UY209_CR0,0,140,209_AL_.jpg",73,[],"['Peter Lord', 'Jeff Newitt', 'Hugh Grant', 'Salma Hayek', 'Jeremy Piven', 'Martin Freeman']",,[],6.7
